measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,198,Zimbabwe,1,Male,1,<5 years,934,Drug-susceptible tuberculosis,1,Number,2014,3331.966673854932,5357.760244085063,1841.108045773287
5,Prevalence,198,Zimbabwe,2,Female,1,<5 years,934,Drug-susceptible tuberculosis,1,Number,2014,5013.671918548889,8003.306419554337,3044.9877318021245
5,Prevalence,198,Zimbabwe,1,Male,2,0-6 days,934,Drug-susceptible tuberculosis,1,Number,2014,0.011831138099344173,0.01657880412648199,0.00800041816797294
5,Prevalence,198,Zimbabwe,2,Female,2,0-6 days,934,Drug-susceptible tuberculosis,1,Number,2014,0.017387096250452535,0.023892258256153792,0.011970814733057443
5,Prevalence,198,Zimbabwe,1,Male,3,7-27 days,934,Drug-susceptible tuberculosis,1,Number,2014,0.17203931252294952,0.240445290237061,0.11700618394964625
5,Prevalence,198,Zimbabwe,2,Female,3,7-27 days,934,Drug-susceptible tuberculosis,1,Number,2014,0.25375033827092586,0.34889045399095686,0.1767442062712207
5,Prevalence,198,Zimbabwe,1,Male,4,28-364 days,934,Drug-susceptible tuberculosis,1,Number,2014,124.96202569173796,213.01957527338703,58.93211375346512
5,Prevalence,198,Zimbabwe,2,Female,4,28-364 days,934,Drug-susceptible tuberculosis,1,Number,2014,244.67017807957475,381.36633533293485,139.4830746624507
5,Prevalence,198,Zimbabwe,1,Male,5,1-4 years,934,Drug-susceptible tuberculosis,1,Number,2014,3206.8207777125713,5200.980938133663,1768.7497504888713
5,Prevalence,198,Zimbabwe,2,Female,5,1-4 years,934,Drug-susceptible tuberculosis,1,Number,2014,4768.730603034794,7635.243636369903,2864.5011519689783
5,Prevalence,198,Zimbabwe,1,Male,6,5-9 years,934,Drug-susceptible tuberculosis,1,Number,2014,2495.1903097334857,4662.459309376066,990.2878432152711
5,Prevalence,198,Zimbabwe,2,Female,6,5-9 years,934,Drug-susceptible tuberculosis,1,Number,2014,4570.85228166138,7929.809206930135,2255.336807529859
5,Prevalence,198,Zimbabwe,1,Male,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2014,772.037937379242,1918.6189890072753,140.75159085844044
5,Prevalence,198,Zimbabwe,2,Female,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2014,2830.145890212754,4967.237623891054,1268.6252162376545
5,Prevalence,198,Zimbabwe,1,Male,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2014,3688.7536334570027,6230.682971788695,1823.712196083637
5,Prevalence,198,Zimbabwe,2,Female,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2014,5245.830400107257,8984.343756561928,2396.004894335733
5,Prevalence,198,Zimbabwe,1,Male,9,20-24 years,934,Drug-susceptible tuberculosis,1,Number,2014,3997.18185488872,6750.069038674673,2105.059102086079
5,Prevalence,198,Zimbabwe,2,Female,9,20-24 years,934,Drug-susceptible tuberculosis,1,Number,2014,8083.298726083796,14019.728843890369,3661.9934597284237
5,Prevalence,198,Zimbabwe,1,Male,10,25-29 years,934,Drug-susceptible tuberculosis,1,Number,2014,3604.3129599886283,6563.215755014555,1428.288673673793
5,Prevalence,198,Zimbabwe,2,Female,10,25-29 years,934,Drug-susceptible tuberculosis,1,Number,2014,4287.856594402602,9452.279787734316,795.6544676753698
5,Prevalence,198,Zimbabwe,1,Male,11,30-34 years,934,Drug-susceptible tuberculosis,1,Number,2014,1623.5114435276405,4267.564365293677,371.33487697491887
5,Prevalence,198,Zimbabwe,2,Female,11,30-34 years,934,Drug-susceptible tuberculosis,1,Number,2014,2382.182525403289,6963.029963252137,726.9351598162283
5,Prevalence,198,Zimbabwe,1,Male,12,35-39 years,934,Drug-susceptible tuberculosis,1,Number,2014,949.9254902570342,2862.981950194744,375.3488030747765
5,Prevalence,198,Zimbabwe,2,Female,12,35-39 years,934,Drug-susceptible tuberculosis,1,Number,2014,850.2306199027471,1698.5765662733384,495.40850434451255
5,Prevalence,198,Zimbabwe,1,Male,13,40-44 years,934,Drug-susceptible tuberculosis,1,Number,2014,666.1609847733522,1848.6602052680566,324.9575770820303
5,Prevalence,198,Zimbabwe,2,Female,13,40-44 years,934,Drug-susceptible tuberculosis,1,Number,2014,649.3017843497865,1446.7580892559542,361.9197608510791
5,Prevalence,198,Zimbabwe,1,Male,14,45-49 years,934,Drug-susceptible tuberculosis,1,Number,2014,391.50087277929777,1113.5406456322266,210.28800136937858
5,Prevalence,198,Zimbabwe,2,Female,14,45-49 years,934,Drug-susceptible tuberculosis,1,Number,2014,338.5005027923125,610.5521575759668,194.22985378029728
5,Prevalence,198,Zimbabwe,1,Male,15,50-54 years,934,Drug-susceptible tuberculosis,1,Number,2014,313.11679231211315,1001.6070956226584,149.33813354426198
5,Prevalence,198,Zimbabwe,2,Female,15,50-54 years,934,Drug-susceptible tuberculosis,1,Number,2014,282.974582026105,767.1651671919647,151.69493842726283
5,Prevalence,198,Zimbabwe,1,Male,16,55-59 years,934,Drug-susceptible tuberculosis,1,Number,2014,314.1786817850926,1067.8230631847357,110.68582538173668
5,Prevalence,198,Zimbabwe,2,Female,16,55-59 years,934,Drug-susceptible tuberculosis,1,Number,2014,208.05467281508027,560.0837340877829,117.45281737729903
5,Prevalence,198,Zimbabwe,1,Male,17,60-64 years,934,Drug-susceptible tuberculosis,1,Number,2014,370.1500909835283,1053.8704420019249,78.65258960938041
5,Prevalence,198,Zimbabwe,2,Female,17,60-64 years,934,Drug-susceptible tuberculosis,1,Number,2014,132.7962301057526,434.37667423211184,71.74780346238543
5,Prevalence,198,Zimbabwe,1,Male,18,65-69 years,934,Drug-susceptible tuberculosis,1,Number,2014,216.72655011843125,583.8929446723513,43.75898698627503
5,Prevalence,198,Zimbabwe,2,Female,18,65-69 years,934,Drug-susceptible tuberculosis,1,Number,2014,64.92863376334267,185.23176987014307,34.83877697853276
5,Prevalence,198,Zimbabwe,1,Male,19,70-74 years,934,Drug-susceptible tuberculosis,1,Number,2014,366.83547277180304,655.3637443997751,133.09782046864814
5,Prevalence,198,Zimbabwe,2,Female,19,70-74 years,934,Drug-susceptible tuberculosis,1,Number,2014,164.9620401393497,408.5697825016362,34.65988449569228
5,Prevalence,198,Zimbabwe,1,Male,20,75-79 years,934,Drug-susceptible tuberculosis,1,Number,2014,306.5915501001127,507.62838985923446,157.2645655020725
5,Prevalence,198,Zimbabwe,2,Female,20,75-79 years,934,Drug-susceptible tuberculosis,1,Number,2014,186.5939261339241,353.95886141390275,54.69293626471751
5,Prevalence,198,Zimbabwe,1,Male,21,80+ years,934,Drug-susceptible tuberculosis,1,Number,2014,291.91434219827954,400.79540876750673,205.74838982878035
5,Prevalence,198,Zimbabwe,2,Female,21,80+ years,934,Drug-susceptible tuberculosis,1,Number,2014,203.19240448069587,293.4237957994841,129.30582466060343
5,Prevalence,198,Zimbabwe,1,Male,22,All ages,934,Drug-susceptible tuberculosis,1,Number,2014,23700.055640908697,29858.134739764257,19053.406709486135
5,Prevalence,198,Zimbabwe,2,Female,22,All ages,934,Drug-susceptible tuberculosis,1,Number,2014,35495.37373292907,46203.52603952939,26768.398890446453
5,Prevalence,198,Zimbabwe,1,Male,23,5-14 years,934,Drug-susceptible tuberculosis,1,Number,2014,3267.228247112728,5941.7442491585725,1384.6342113588628
5,Prevalence,198,Zimbabwe,2,Female,23,5-14 years,934,Drug-susceptible tuberculosis,1,Number,2014,7400.998171874133,11600.664885013595,4189.670646873768
5,Prevalence,198,Zimbabwe,1,Male,24,15-49 years,934,Drug-susceptible tuberculosis,1,Number,2014,14921.347239671673,20268.378468486415,10366.434449205584
5,Prevalence,198,Zimbabwe,2,Female,24,15-49 years,934,Drug-susceptible tuberculosis,1,Number,2014,21837.201153041788,31322.67034010716,13766.592971522872
5,Prevalence,198,Zimbabwe,1,Male,25,50-69 years,934,Drug-susceptible tuberculosis,1,Number,2014,1214.172115199165,2694.960783340503,513.8599806517427
5,Prevalence,198,Zimbabwe,2,Female,25,50-69 years,934,Drug-susceptible tuberculosis,1,Number,2014,688.7541187102806,1431.0331363746689,444.50102059194575
5,Prevalence,198,Zimbabwe,1,Male,26,70+ years,934,Drug-susceptible tuberculosis,1,Number,2014,965.3413650701954,1492.919896615304,562.438349835735
5,Prevalence,198,Zimbabwe,2,Female,26,70+ years,934,Drug-susceptible tuberculosis,1,Number,2014,554.7483707539698,976.4912388060186,250.0875092755621
5,Prevalence,198,Zimbabwe,1,Male,28,<1 year,934,Drug-susceptible tuberculosis,1,Number,2014,125.14589614236026,213.2792330469769,59.05498193620179
5,Prevalence,198,Zimbabwe,2,Female,28,<1 year,934,Drug-susceptible tuberculosis,1,Number,2014,244.94131551409606,381.73055804583083,139.66682755413794
5,Prevalence,198,Zimbabwe,1,Male,30,80-84 years,934,Drug-susceptible tuberculosis,1,Number,2014,192.96403901299104,271.9861493067418,131.5259467824342
